Courses,Modules,Summary,Enrolled User_IDs
Cyber-Manufacturing Systems,Application of Industry Automation,"The Application of Industry Automation module, participants will delve into the Purdue model, an extension of the automation pyramid that adds another level to connect managerial and operational decisions. The module will explain how the Purdue model enhances the traditional automation pyramid by integrating managerial and operational functions within a single platform. Participants will explore the flow of information and decision-making from the bottom to the top of the pyramid, highlighting the importance of connecting various levels in the manufacturing process. Additionally, the module will present two case studies that demonstrate the implementation of networking in the context of the Purdue model. While introducing fundamental networking concepts, the module acknowledges that further details will be covered in subsequent modules. By the end of the module, participants will have a solid understanding of the Purdue Model, its application through case studies, and the basic networking concepts relevant to industrial automation.","A006, A008, T105, P103, P105"
Cyber-Manufacturing Systems,Networking Basics,"The Networking Basics module, participants will explore the core principles of networking, with a specific focus on the TCP/IP model. The module will provide an overview of networking concepts and terminology, establishing a foundation for understanding how data is transmitted and communicated across networks. The TCP/IP model will be introduced as a framework for organizing the various layers involved in networking. Participants will learn about each layer of the TCP/IP model, including the physical layer, data link layer, network layer, transport layer, and application layer. Additionally, the module will highlight the connection between internet layers and their relevance to industrial automation. By the end of the module, participants will have a comprehensive understanding of the fundamentals of networking, the TCP/IP model, and the significance of each internet layer in the context of industrial automation.","A006, A008, T105, P103, P105"
Cyber-Manufacturing Systems,Protocols in Manufacturing Networks," The Protocols in Manufacturing Networks, module offers a comprehensive exploration of the communication protocols and network architectures that drive modern manufacturing. Participants will gain a solid understanding of the industrial automation and control protocols that facilitate seamless integration and communication between different systems and devices in the manufacturing industry. The module focuses on the CIP (Common Industrial Protocol) protocol and the CPwE (Converged Plantwide Ethernet) architecture, delving into their inner workings and highlighting their crucial roles in industrial settings. Additionally, participants will examine key IoT (Internet of Things) protocols that are transforming manufacturing, including MQTT (Message Queuing Telemetry Transport). By the end of the module, participants will have a deep understanding of these cutting-edge networking options and their implications for implementing new technologies in manufacturing. This knowledge will empower participants to make informed decisions regarding technology implementation and upgrades in a manufacturing environment.","A006, A008, T105, P103, P105"
Robotics & Automation, Introduction to Robotics," Introduction to Robotics provides learners with a comprehensive introduction to the field of robotics, covering the definition and identification of robots, common robot categories, various domains where robots are utilized, and fundamental terminology. By the end of the module, learners will have a clear understanding of what constitutes a robot, different types of robots, industries where robots are commonly employed, and key concepts related to robotics. This module lays the groundwork for further exploration and study in the field of robotics, setting learners on a path to delve deeper into the exciting world of robotics and its applications.","A006, A004, A007, T105,P103, P105"
Robotics & Automation,Sensing and Perception,"Sensing and Perception in Robotics provides learners with a solid foundation in the fundamentals of sensing and perception. Students will gain knowledge on how to classify and characterize sensors, as well as recognize various types of sensors commonly used in robotics. Additionally, learners will be introduced to the concept of perception in robotics, gaining a basic understanding of how robots gather and interpret sensory information. By the end of the module, learners will be equipped with the necessary knowledge to analyze and apply sensors and perception techniques in the field of robotics.","A006, A004, A007, T105,P103, P105"
Robotics & Automation,Computation for Robotics and Automation,"Computation for Robotics and Automation provides learners with a comprehensive understanding of the foundational principles of computation in the context of robotics and automation. The module covers various aspects, including algorithm design and implementation tradeoffs, models of computation, waypoint navigation, planning in known environments, motion control, and software engineering principles. By the end of the module, learners will have developed a strong understanding of computation design for robotics and automation, the application of models of computation, foundational robot manipulation and navigation techniques, and basic engineering design skills necessary for successful implementation in real-world scenarios.","A006, A004, A007, T105,P103, P105"
Robotics & Automation,Actuation in Robotics,"Actuation in Robotics provides learners with a comprehensive understanding of the fundamental concepts and principles of actuation in robotics. The module covers topics such as kinematics in robotics, including an overview and basic example, along with the relevant terminology used to describe robot motion. Learners will also explore different types of actuators commonly used in robotics and gain insights into actuator control systems. By the end of the module, learners will have a solid understanding of the role of actuation in robotics, the principles of kinematics, terminology related to robot motion, various types of actuators, and actuator control mechanisms.","A006, A004, A007, T105,P103, P105"
Robotics & Automation,Real-World Applications,"Real-World Applications offers learners an in-depth exploration of the historical context, current applications, and future prospects of robotics. The module begins with a comprehensive overview of the history of robotics, providing learners with a foundational understanding of the evolution and milestones in the field. It then delves into the present, showcasing real-world applications of robotics across various industries and domains. Finally, the module explores future directions and emerging trends in robotics research and development, giving learners insights into the exciting possibilities that lie ahead. By the end of the module, learners will have gained a basic knowledge of the history of robotics, an understanding of the current applications of robotics in different fields, and a working knowledge of the future advancements and potential of the field.","A006, A004, A007, T105,P103, P105"
"Ethics, Privacy and Cybersecurity",Ethics in Learning,"The Ethics in Learning module focuses on ethical practices, privacy issues, and security measures in the context of online learning platforms. The module consists of four lessons that cover various aspects of ethics and security. In the first two lessons, participants will learn about ethical practices related to using and sharing online materials, as well as maintaining integrity in assessments. They will gain an understanding of the importance of proper citation and responsible use of information. The third lesson addresses privacy concerns and the risks associated with sharing personal data online. Participants will learn how to protect their privacy and maintain a secure online learning environment. The final lesson focuses on cybersecurity in the education sector, covering common types of cyberattacks and providing preventive measures to safeguard against them. By the end of the module, participants will have a comprehensive understanding of ethical considerations, privacy protection, and security practices in online learning, enabling them to engage in responsible and secure online educational activities.","A001, A009"
"Ethics, Privacy and Cybersecurity",AI and Data Ethics,"The AI and Data Ethics module provides an in-depth exploration of the ethical considerations and challenges associated with data science and artificial intelligence (AI). Through four comprehensive lessons, participants gain an understanding of the principles of AI and Data Ethics, learn how to embed privacy measures into algorithm design, examine potential ethical concerns in model building, and explore strategies to mitigate bias in AI algorithms. By the end of the module, participants will be equipped with the knowledge and skills to make ethical and responsible decisions when working with data and AI technologies.","A001, A009"
